,qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
101,18.0,2,2.0,97,1.0,3.0,1.0,2.0,2016.0,1.0,1.0
102,30.0,2,4.0,97,6.0,2.0,2.0,2.0,2015.0,2.0,1.0
103,52.0,2,1.0,97,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2014.0,13.358652575957727,5.712727272727273
104,37.0,2,4.0,6,5.0,2.0,1.0,2.0,2014.0,1.0,1.0
105,17.0,1,4.0,98,1.0,3.0,2.0,6.0,2014.0,1.0,3.0
106,16.0,1,4.0,98,1.0,3.0,1.0,2.0,2014.0,1.0,3.0
107,27.0,1,4.0,9,6.0,1.0,2.0,2.0,2016.0,2.0,1.0
108,38.0,2,1.0,10,6.0,1.0,2.0,1.0,2017.0,1.0,1.0
109,66.0,1,1.0,10,6.0,1.0,1.0,1.0,2018.0,1.0,3.0
110,44.0,1,1.0,10,98.0,1.0,1.0,1.0,2017.0,1.0,1.0
111,10.0,2,2.5008455467869224,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
112,68.0,2,1.0,10,6.0,2.0,2.0,1.0,2014.0,1.0,3.0
113,2.0,1,2.5008455467869224,24,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
114,27.0,1,1.0,97,5.0,3.0,2.0,1.0,2017.0,2.0,1.0
115,0.0,1,2.5008455467869224,24,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
116,21.0,2,1.0,97,2.0,3.0,1.0,2.0,2016.0,1.0,3.0
117,15.0,1,4.0,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
118,40.0,1,1.0,22,5.0,3.0,1.0,1.0,2017.0,2.0,1.0
119,38.0,2,7.0,22,4.0,2.0,1.0,1.0,2017.0,2.0,1.0
120,11.0,1,2.5008455467869224,22,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
121,18.0,1,4.0,22,2.0,1.0,2.0,1.0,2017.0,2.0,1.0
122,22.0,1,4.0,26,5.0,3.0,2.0,1.0,2018.0,2.0,1.0
123,49.0,2,1.0,26,5.0,4.0,1.0,1.0,2018.0,2.0,2.0
124,18.0,1,4.0,26,5.0,2.0,1.0,2.0,2018.0,2.0,2.0
125,998.0,1,1.0,10,5.0,2.0,1.0,1.0,2016.0,1.0,1.0
126,998.0,2,1.0,10,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2016.0,13.358652575957727,5.712727272727273
127,39.0,1,2.0,97,5.0,2.0,1.0,1.0,2018.0,1.0,1.0
128,14.0,1,2.5008455467869224,96,8.889072301089469,2.5893034004621986,1.3829646748101683,1.5853416969296799,2017.0,13.358652575957727,5.712727272727273
129,31.0,1,1.0,96,5.0,2.0,2.0,1.0,2014.0,1.0,1.0
130,23.0,1,8.0,96,2.0,3.0,8.0,1.0,2017.0,1.0,2.0
131,53.0,2,2.0,96,1.0,4.0,1.0,2.0,2017.0,1.0,1.0
132,27.0,1,4.0,96,5.0,2.0,2.0,1.0,2015.0,2.0,2.0
133,43.0,1,1.0,10,6.0,1.0,2.0,2.0,2016.0,1.0,1.0
